ID,Species,capt_date,SL_mm,SL_size_class,sex,weight_g,height_mm,sample_type,area,Long,Lat,d15N,d13C,d34S,CN_ratio,comment1,comment2
BH-01883,E.lucius,2020-11-12,870,,f,,,Muscle,GB,,,17.03,-18.2866666666667,10.1933333333333,3.1964351826648,|,
BH-01884,E.lucius,2020-11-08,700,,f,,,Muscle,GB,,,15.7033333333333,-16.855,9.23,3.16234663085484,|,
BH-01885,E.lucius,2020-11-27,796,,f,,,Muscle,GB,,,17.055,-19.0866666666667,11.8616666666667,3.17151562017261,|,
BH-01886,E.lucius,2020-11-27,640,,m,1986,,Muscle,GB,,,16.0933333333333,-17.165,8.65833333333333,3.11452909381503,|,
BH-01887,E.lucius,2020-11-27,679,,m,2294,,Muscle,GB,,,17.4425,-18.6525,9.82,3.16808099384358,|,
BH-01888,E.lucius,2020-11-27,687,,f,2316,,Muscle,GB,,,17.3875,-18.1875,9.225,3.20807544561273,|,
BH-01889,E.lucius,2020-11-27,837,,f,,,Muscle,GB,,,16.3128571428571,-17.3014285714286,10.8185714285714,3.09809139074903,|,
BH-01890,E.lucius,2020-11-27,864,,f,,,Muscle,GB,,,17.61,-18.4666666666667,8.64333333333333,3.22547041282538,|,
BH-01891,E.lucius,2020-11-27,870,,f,4348,,Muscle,GB,,,17.3283333333333,-19.225,11.25,3.14435593025767,|,
BH-01892,E.lucius,2020-11-27,635,,m,1772,,Muscle,GB,,,16.1975,-16.8275,7.9975,3.19918344701914,|,
BH-01893,E.lucius,2020-11-10,650,,m,,,Muscle,GB,,,16.0025,-17.035,11.5325,3.21047715030262,|,
BH-01894,E.lucius,2020-11-13,600,,m,,,Muscle,GB,,,16.06,-17.17,9.98,3.03127079174983,|,
BH-01897,E.lucius,2020-11-13,600,,m,,,Muscle,GB,,,16.3333333333333,-16.48,11.9633333333333,3.22092326075204,|,
BH-01898,E.lucius,2020-11-08,700,,f,,,Muscle,GB,,,15.9933333333333,-16.7533333333333,12.05,3.23550347733354,|,
BH-01899,E.lucius,2020-11-10,760,,f,,,Muscle,GB,,,15.9733333333333,-16.7966666666667,11.5533333333333,3.20611937647918,|,
BH-01902,E.lucius,2020-11-01,500,,m,,,Muscle,GB,,,16.1633333333333,-16.3133333333333,11.6066666666667,3.23771546774242,|,
BH-01903,E.lucius,2020-11-27,439,,f,596,,Muscle,GB,,,15.4566666666667,-18.0266666666667,7.20333333333333,3.21284949270046,|,
BH-01904,E.lucius,2020-11-27,404,,f,474,,Muscle,GB,,,14.37,-19.7333333333333,5.60666666666667,3.24575285985534,|,
BH-01906,E.lucius,2019-11-05,1230,,f,13600,,Muscle,WRB,,,16.7833333333333,-19.2366666666667,14.87,3.24802733555019,|,
BH-01908,E.lucius,2021-01-30,876,,f,,,Muscle,GB,,,16.6033333333333,-18.0233333333333,14.6466666666667,3.22067269071766,|,
BH-01922,E.lucius,2020-02-01,1262,,f,14600,,Muscle,WRB,,,16.6766666666667,-17.93,11.5433333333333,3.20324758066986,|,
BH-90001,E.lucius,2020-02-06,591,,m,1630,,Muscle,GB,13.39109,54.27662,15.12,-18.185,9.02,3.40890853175331,"Sample was measured together with sample before, amount is adjusted",
BH-90001,E.lucius,2020-02-06,591,,m,1630,,Muscle,GB,13.39109,54.27662,15.12,-18.185,9.02,3.40890853175331,"",
BH-90002,E.lucius,2020-02-05,762,,m,3202,,Muscle,NRB,13.37343,54.61217,15.89,-17.53,16.08,3.40511551155116,"",
BH-90003,E.lucius,2020-02-04,931,,f,6904,,Muscle,NRB,13.37343,54.61217,15.5133333333333,-18.28,19.8766666666667,3.49970261101807,"",
BH-90006,E.lucius,2020-02-17,678,,f,2462,,Muscle,Freshwater,13.02828,53.90387,19.48,-26.35,2.13,3.23347398030942,"",
BH-90007,E.lucius,2020-02-17,804,,f,3346,,Muscle,KJB,13.50849,54.47817,16.9233333333333,-17.6833333333333,4.62333333333333,3.29231031965054,"",
BH-90008,E.lucius,2020-02-17,563,,m,1404,,Muscle,Freshwater,13.02828,53.90387,19.22,-25.7,2.65,3.12665274878219,"",
BH-90009,E.lucius,2020-02-14,705,,f,2670,,Muscle,GB,13.70016,54.29596,15.6933333333333,-17.0566666666667,10.1433333333333,3.38906527929305,"",
BH-90010,E.lucius,2020-02-17,689,,f,2828,,Muscle,Freshwater,13.02828,53.90387,18.935,-26.375,1.075,3.1413864104324,"",
